id,isolate,country,cgST (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),,,,,,,,,,,LIN2,LIN3,LIN4
60507,KNY_NGAMR8,Kenya,4568;32809,0_0_33_46_1_0_0_0_0_0_0,0,0,33,46,1,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
60508,KNY_NGAMR10,Kenya,4569,0_9_0_5_3_0_0_0_0_0_0,0,9,0,5,3,0,0,0,0,0,0,0_9,0_9_0,0_9_0_5
60509,KNY_NGAMR11,Kenya,4570;25937;26701;32810,0_0_33_46_2_0_0_0_0_0_0,0,0,33,46,2,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
60510,KNY_NGAMR23,Kenya,4571;32811,0_0_33_55_0_0_0_0_0_0_0,0,0,33,55,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_55
60511,KNY_NGAMR14,Kenya,,,,,,,,,,,,,,_,__,___
60512,KNY_NGAMR20,Kenya,4571;4572;32811;32812,0_0_33_55_0_0_0_0_0_0_0,0,0,33,55,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_55
60513,KNY_NGAMR17,Kenya,4573,0_16_4_0_11_0_0_0_0_0_0,0,16,4,0,11,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
60514,KNY_NGAMR18,Kenya,4574,0_0_36_2_0_0_0_0_0_0_0,0,0,36,2,0,0,0,0,0,0,0,0_0,0_0_36,0_0_36_2
60515,KNY_NGAMR19,Kenya,4575,0_16_0_4_0_0_0_0_0_0_0,0,16,0,4,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_4
60516,KNY_NGAMR15,Kenya,4576,0_0_33_46_5_0_0_0_0_0_0,0,0,33,46,5,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
60517,KNY_NGAMR21,Kenya,4577,0_0_33_54_0_0_0_0_0_0_0,0,0,33,54,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_54
60518,KNY_NGAMR22,Kenya,,,,,,,,,,,,,,_,__,___
60519,KNY_NGAMR13,Kenya,4578,0_0_33_46_0_0_0_0_0_0_0,0,0,33,46,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
60520,KNY_NGAMR24,Kenya,,,,,,,,,,,,,,_,__,___
60521,KNY_NGAMR28,Kenya,,,,,,,,,,,,,,_,__,___
60522,KNY_NGAMR29,Kenya,4579;25938;26702;32813,1_1_34_1_1_0_0_0_0_0_0,1,1,34,1,1,0,0,0,0,0,0,1_1,1_1_34,1_1_34_1
60523,KNY_NGAMR31,Kenya,4580;32814,0_9_0_6_0_0_0_0_0_0_0,0,9,0,6,0,0,0,0,0,0,0,0_9,0_9_0,0_9_0_6
60524,KNY_NGAMR32,Kenya,4581,0_0_33_50_0_0_0_0_0_0_0,0,0,33,50,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_50
60525,KNY_NGAMR35,Kenya,32815,0_9_0_5_23_1_0_0_0_0_0,0,9,0,5,23,1,0,0,0,0,0,0_9,0_9_0,0_9_0_5
60526,KNY_NGAMR41,Kenya,,,,,,,,,,,,,,_,__,___
60527,KNY_NGAMR42,Kenya,,,,,,,,,,,,,,_,__,___
60528,KNY_NGAMR50,Kenya,,,,,,,,,,,,,,_,__,___
60530,KNY_NGAMR53,Kenya,4582,1_1_34_1_0_0_0_0_0_0_0,1,1,34,1,0,0,0,0,0,0,0,1_1,1_1_34,1_1_34_1
60531,KNY_NGAMR54,Kenya,4583,0_0_36_4_0_0_0_0_0_0_0,0,0,36,4,0,0,0,0,0,0,0,0_0,0_0_36,0_0_36_4
61382,IC_CNR077,Ivory Coast,38233,,,,,,,,,,,,,_,__,___
61383,IC_15039,Ivory Coast,4640,1_1_17_7_0_0_0_0_0_0_0,1,1,17,7,0,0,0,0,0,0,0,1_1,1_1_17,1_1_17_7
89182,15MUS-Pl003,South Africa,,,,,,,,,,,,,,_,__,___
89183,15MUS-Pl044,South Africa,,,,,,,,,,,,,,_,__,___
89185,15MUS-Pl098,South Africa,,,,,,,,,,,,,,_,__,___
89186,17MUS-AH083,South Africa,,,,,,,,,,,,,,_,__,___
89187,17MUS-AH094,South Africa,,,,,,,,,,,,,,_,__,___
89188,17MUS-AH118,South Africa,,,,,,,,,,,,,,_,__,___
89189,17MUS-AH035,South Africa,,,,,,,,,,,,,,_,__,___
89190,15MUS-PI063,South Africa,,,,,,,,,,,,,,_,__,___
89194,17MUS-AH070,South Africa,,,,,,,,,,,,,,_,__,___
89195,15MUS-PI091,South Africa,,,,,,,,,,,,,,_,__,___
89196,17MUS-AH060,South Africa,,,,,,,,,,,,,,_,__,___
89197,15MUS-PI005,South Africa,,,,,,,,,,,,,,_,__,___
89198,15MUS-PI092,South Africa,,,,,,,,,,,,,,_,__,___
89199,17MUS-AH077,South Africa,,,,,,,,,,,,,,_,__,___
89200,17MUS-AH017,South Africa,,,,,,,,,,,,,,_,__,___
92898,JR-409,South Africa,,,,,,,,,,,,,,_,__,___
92899,JR-413,South Africa,,,,,,,,,,,,,,_,__,___
92900,JR-414,South Africa,,,,,,,,,,,,,,_,__,___
92901,JR-412,South Africa,,,,,,,,,,,,,,_,__,___
92902,JR-403,South Africa,,,,,,,,,,,,,,_,__,___
92903,JR-401,South Africa,,,,,,,,,,,,,,_,__,___
93214,G176,South Africa,,,,,,,,,,,,,,_,__,___
95771,GHA-ADB-055,Ghana,9087,0_0_18_7_0_1_0_0_0_0_0,0,0,18,7,0,1,0,0,0,0,0,0_0,0_0_18,0_0_18_7
95772,GHA-ADB-088,Ghana,9088,0_10_0_2_0_1_0_0_0_0_0,0,10,0,2,0,1,0,0,0,0,0,0_10,0_10_0,0_10_0_2
95773,GHA-ADB-095,Ghana,,,,,,,,,,,,,,_,__,___
95774,GHA-ADB-099,Ghana,9089,0_10_0_2_0_0_0_0_0_1_0,0,10,0,2,0,0,0,0,0,1,0,0_10,0_10_0,0_10_0_2
95775,GHA-ADB-129,Ghana,9090,0_0_39_0_0_0_0_0_0_0_0,0,0,39,0,0,0,0,0,0,0,0,0_0,0_0_39,0_0_39_0
95776,GHA-ADB-135,Ghana,9091,11_0_0_0_1_0_0_0_0_0_0,11,0,0,0,1,0,0,0,0,0,0,11_0,11_0_0,11_0_0_0
95777,GHA-ADB-191,Ghana,9092,0_0_33_46_10_0_0_0_0_0_0,0,0,33,46,10,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
95778,GHA-ADB-216,Ghana,9093;33258,1_1_27_4_0_0_0_0_0_0_0,1,1,27,4,0,0,0,0,0,0,0,1_1,1_1_27,1_1_27_4
95779,GHA-ADB-230,Ghana,9094,0_2_0_1_197_0_0_0_0_0_0,0,2,0,1,197,0,0,0,0,0,0,0_2,0_2_0,0_2_0_1
95780,GHA-ARM-046,Ghana,,,,,,,,,,,,,,_,__,___
95781,GHA-ARM-069,Ghana,9095,0_0_38_0_0_0_0_0_0_0_0,0,0,38,0,0,0,0,0,0,0,0,0_0,0_0_38,0_0_38_0
95782,GHA-ARM-073,Ghana,9096,0_0_38_0_0_0_0_0_1_0_0,0,0,38,0,0,0,0,0,1,0,0,0_0,0_0_38,0_0_38_0
95783,GHA-ARM-106,Ghana,9097,0_10_0_2_0_0_0_0_1_0_0,0,10,0,2,0,0,0,0,1,0,0,0_10,0_10_0,0_10_0_2
95784,GHA-ARM-127,Ghana,9098,0_2_13_0_0_0_0_0_0_0_0,0,2,13,0,0,0,0,0,0,0,0,0_2,0_2_13,0_2_13_0
95785,GHA-ARM-163,Ghana,9099,0_10_0_2_0_0_1_0_0_0_0,0,10,0,2,0,0,1,0,0,0,0,0_10,0_10_0,0_10_0_2
95786,GHA-ARM-165,Ghana,9100,0_10_0_2_0_0_1_0_0_0_0,0,10,0,2,0,0,1,0,0,0,0,0_10,0_10_0,0_10_0_2
95787,GHA-NAV-029,Ghana,9097,0_10_0_2_0_0_0_0_1_0_0,0,10,0,2,0,0,0,0,1,0,0,0_10,0_10_0,0_10_0_2
95788,GHA-NAV-031,Ghana,9097,0_10_0_2_0_0_0_0_1_0_0,0,10,0,2,0,0,0,0,1,0,0,0_10,0_10_0,0_10_0_2
95789,GHA-NAV-040,Ghana,9101,0_0_33_46_11_0_0_0_0_0_0,0,0,33,46,11,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
95790,GHA-TMH-040,Ghana,9102;26995,1_1_15_1_0_0_0_0_0_0_0,1,1,15,1,0,0,0,0,0,0,0,1_1,1_1_15,1_1_15_1
95791,GHA-TMH-042,Ghana,9103,0_0_18_7_0_0_0_0_1_0_0,0,0,18,7,0,0,0,0,1,0,0,0_0,0_0_18,0_0_18_7
95792,GHA-TMH-050,Ghana,9104,0_0_18_7_3_0_0_0_0_0_0,0,0,18,7,3,0,0,0,0,0,0,0_0,0_0_18,0_0_18_7
95793,GHA-TMH-067,Ghana,9105,0_0_18_7_1_0_0_0_0_0_0,0,0,18,7,1,0,0,0,0,0,0,0_0,0_0_18,0_0_18_7
95794,GHA-TMH-068,Ghana,9106,0_10_0_2_0_0_0_0_0_0_0,0,10,0,2,0,0,0,0,0,0,0,0_10,0_10_0,0_10_0_2
95795,GHA-TMH-074,Ghana,9107;29585,0_0_18_7_0_0_0_0_0_0_0,0,0,18,7,0,0,0,0,0,0,0,0_0,0_0_18,0_0_18_7
95796,GHA-TMH-455,Ghana,9108,0_0_18_7_2_0_0_0_0_0_0,0,0,18,7,2,0,0,0,0,0,0,0_0,0_0_18,0_0_18_7
95797,GHA-TMH-458,Ghana,9109,0_12_6_0_0_1_0_0_0_0_0,0,12,6,0,0,1,0,0,0,0,0,0_12,0_12_6,0_12_6_0
95798,GHA-TMH-462,Ghana,9110,0_12_6_0_0_0_0_0_0_0_0,0,12,6,0,0,0,0,0,0,0,0,0_12,0_12_6,0_12_6_0
95799,GHA-TMH-465,Ghana,9111;26996,0_0_11_0_0_0_0_0_0_0_0,0,0,11,0,0,0,0,0,0,0,0,0_0,0_0_11,0_0_11_0
95800,GHA-TMH-484,Ghana,9112,0_0_18_7_4_0_0_0_0_0_0,0,0,18,7,4,0,0,0,0,0,0,0_0,0_0_18,0_0_18_7
95801,GHA-TMH-537,Ghana,9113,0_0_18_7_9_0_0_0_0_0_0,0,0,18,7,9,0,0,0,0,0,0,0_0,0_0_18,0_0_18_7
95802,GHA-ADB-284,Ghana,9114,0_0_11_1_0_2_0_0_0_0_0,0,0,11,1,0,2,0,0,0,0,0,0_0,0_0_11,0_0_11_1
95803,GHA-ADB-297,Ghana,9115;31982,0_0_11_1_0_3_0_0_0_0_0,0,0,11,1,0,3,0,0,0,0,0,0_0,0_0_11,0_0_11_1
95804,GHA-ADB-340,Ghana,9116,0_16_0_5_0_0_0_0_0_0_0,0,16,0,5,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_5
95805,GHA-ADB-342,Ghana,9117;33259,11_0_0_1_0_0_0_0_0_0_0,11,0,0,1,0,0,0,0,0,0,0,11_0,11_0_0,11_0_0_1
95806,GHA-ADB-347,Ghana,9118,0_0_11_1_3_0_0_0_0_0_0,0,0,11,1,3,0,0,0,0,0,0,0_0,0_0_11,0_0_11_1
95807,GHA-ADB-348,Ghana,9119,0_0_11_1_1_0_0_0_0_0_0,0,0,11,1,1,0,0,0,0,0,0,0_0,0_0_11,0_0_11_1
95808,GHA-ADB-360,Ghana,9120,0_2_21_0_1_0_0_0_0_0_0,0,2,21,0,1,0,0,0,0,0,0,0_2,0_2_21,0_2_21_0
95809,GHA-ADB-369,Ghana,9121;31983,0_12_6_0_1_0_0_0_0_0_0,0,12,6,0,1,0,0,0,0,0,0,0_12,0_12_6,0_12_6_0
95810,GHA-AIR-053,Ghana,,,,,,,,,,,,,,_,__,___
95811,GHA-AIR-057,Ghana,9122,0_0_33_12_12_0_0_0_0_0_0,0,0,33,12,12,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
95812,GHA-AIR-058,Ghana,9123,0_0_33_12_9_0_0_0_0_0_0,0,0,33,12,9,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
95813,GHA-ARM-233,Ghana,9124,0_12_6_0_0_2_0_0_0_0_0,0,12,6,0,0,2,0,0,0,0,0,0_12,0_12_6,0_12_6_0
95814,GHA-ARM-285,Ghana,9125,0_0_11_1_0_1_0_0_0_0_0,0,0,11,1,0,1,0,0,0,0,0,0_0,0_0_11,0_0_11_1
95815,GHA-ARM-288,Ghana,9126;25839,0_0_11_1_0_4_0_0_0_0_0,0,0,11,1,0,4,0,0,0,0,0,0_0,0_0_11,0_0_11_1
95816,GHA-ARM-299,Ghana,9127,0_0_11_1_2_0_0_0_0_0_0,0,0,11,1,2,0,0,0,0,0,0,0_0,0_0_11,0_0_11_1
95817,GHA-TMH-588,Ghana,9128,0_0_33_12_5_1_0_0_0_0_0,0,0,33,12,5,1,0,0,0,0,0,0_0,0_0_33,0_0_33_12
95818,GHA-TMH-594,Ghana,9129;26997,0_2_13_0_1_0_0_0_0_0_0,0,2,13,0,1,0,0,0,0,0,0,0_2,0_2_13,0_2_13_0
95819,GHA-TMH-612,Ghana,9130,0_0_33_12_6_0_0_0_0_0_0,0,0,33,12,6,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
95820,GHA-TMH-619,Ghana,9131;26998;31984,0_2_13_0_0_1_0_0_0_0_0,0,2,13,0,0,1,0,0,0,0,0,0_2,0_2_13,0_2_13_0
95821,GHA-TMH-624,Ghana,9132,0_0_11_1_0_0_0_0_0_0_0,0,0,11,1,0,0,0,0,0,0,0,0_0,0_0_11,0_0_11_1
96169,R3,South Africa,9176;33260,0_0_25_2_0_0_0_0_0_0_0,0,0,25,2,0,0,0,0,0,0,0,0_0,0_0_25,0_0_25_2
96170,R6,South Africa,9177;26999;33261,1_1_17_4_3_0_0_0_0_0_0,1,1,17,4,3,0,0,0,0,0,0,1_1,1_1_17,1_1_17_4
96171,R48,South Africa,9178;26118;27000,0_16_5_0_0_0_0_0_0_0_0,0,16,5,0,0,0,0,0,0,0,0,0_16,0_16_5,0_16_5_0
96172,R59,South Africa,26790,57_0_0_1_0_0_0_0_0_0_0,57,0,0,1,0,0,0,0,0,0,0,57_0,57_0_0,57_0_0_1
96173,R63,South Africa,,,,,,,,,,,,,,_,__,___
96174,R73,South Africa,26791,1_1_27_2_2_0_0_0_0_0_0,1,1,27,2,2,0,0,0,0,0,0,1_1,1_1_27,1_1_27_2
97776,GENT058_YB,Malawi,,,,,,,,,,,,,,_,__,___
97777,GENT067,Malawi,,,,,,,,,,,,,,_,__,___
97778,GENT068,Malawi,,,,,,,,,,,,,,_,__,___
97779,GENT070,Malawi,,,,,,,,,,,,,,_,__,___
97780,GENT092,Malawi,,,,,,,,,,,,,,_,__,___
97781,GENT096,Malawi,,,,,,,,,,,,,,_,__,___
97782,GENT135,Malawi,,,,,,,,,,,,,,_,__,___
97783,GENT143,Malawi,,,,,,,,,,,,,,_,__,___
97784,GENT146,Malawi,,,,,,,,,,,,,,_,__,___
105972,18,Kenya,,,,,,,,,,,,,,_,__,___
105973,61,Kenya,,,,,,,,,,,,,,_,__,___
105974,3,Kenya,,,,,,,,,,,,,,_,__,___
105975,12,Kenya,,,,,,,,,,,,,,_,__,___
105976,57,Kenya,,,,,,,,,,,,,,_,__,___
105977,100A,Kenya,,,,,,,,,,,,,,_,__,___
105978,240,Kenya,,,,,,,,,,,,,,_,__,___
105979,274,Kenya,,,,,,,,,,,,,,_,__,___
105980,285,Kenya,,,,,,,,,,,,,,_,__,___
105981,298,Kenya,,,,,,,,,,,,,,_,__,___
106122,1107_Kenya,Kenya,9757,0_0_33_48_0_0_0_0_0_0_0,0,0,33,48,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_48
106123,1284_Kenya,Kenya,9758;33347,0_0_33_58_0_0_0_0_0_0_0,0,0,33,58,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_58
106124,1912_Kenya,Kenya,9759,0_9_0_5_5_0_0_0_0_0_0,0,9,0,5,5,0,0,0,0,0,0,0_9,0_9_0,0_9_0_5
106125,1912-5_Kenya,Kenya,9760,0_0_33_48_0_0_0_0_0_1_0,0,0,33,48,0,0,0,0,0,1,0,0_0,0_0_33,0_0_33_48
106126,2086_Kenya,Kenya,9761,0_0_33_52_1_0_0_0_0_1_0,0,0,33,52,1,0,0,0,0,1,0,0_0,0_0_33,0_0_33_52
106127,2172_Kenya,Kenya,9762,0_16_0_7_0_0_0_0_0_0_0,0,16,0,7,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_7
106128,2245_Kenya,Kenya,9763,0_2_55_1_0_1_0_0_0_0_0,0,2,55,1,0,1,0,0,0,0,0,0_2,0_2_55,0_2_55_1
106129,2250_Kenya,Kenya,9764,0_0_33_48_0_0_0_0_1_0_0,0,0,33,48,0,0,0,0,1,0,0,0_0,0_0_33,0_0_33_48
106130,2320_Kenya,Kenya,9765,0_9_0_5_2_0_0_0_0_0_0,0,9,0,5,2,0,0,0,0,0,0,0_9,0_9_0,0_9_0_5
106131,2350_Kenya,Kenya,9766,0_0_36_1_0_1_0_0_0_0_0,0,0,36,1,0,1,0,0,0,0,0,0_0,0_0_36,0_0_36_1
106132,2372_Kenya,Kenya,9767;27089;32005,0_0_36_1_0_0_0_0_0_0_0,0,0,36,1,0,0,0,0,0,0,0,0_0,0_0_36,0_0_36_1
106133,2416_Kenya,Kenya,9768,1_0_0_1_0_0_0_0_0_0_0,1,0,0,1,0,0,0,0,0,0,0,1_0,1_0_0,1_0_0_1
106134,2435_Kenya,Kenya,9769;29589,0_16_0_1_3_0_0_0_0_0_0,0,16,0,1,3,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
106135,2438_Kenya,Kenya,9770,0_0_33_48_0_0_0_0_0_2_0,0,0,33,48,0,0,0,0,0,2,0,0_0,0_0_33,0_0_33_48
106136,2533_Kenya,Kenya,9771,1_0_0_0_0_0_0_0_0_0_0,1,0,0,0,0,0,0,0,0,0,0,1_0,1_0_0,1_0_0_0
106137,2537_Kenya,Kenya,9772;32006,1_1_34_0_1_0_0_0_0_1_0,1,1,34,0,1,0,0,0,0,1,0,1_1,1_1_34,1_1_34_0
106138,2560_Kenya,Kenya,9773,0_16_4_0_4_0_0_0_0_0_0,0,16,4,0,4,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
106139,2564_Kenya,Kenya,9774,0_0_33_46_7_0_0_0_0_0_0,0,0,33,46,7,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
106140,2628_Kenya,Kenya,9775,0_0_33_52_1_0_0_0_0_0_0,0,0,33,52,1,0,0,0,0,0,0,0_0,0_0_33,0_0_33_52
106141,2643_Kenya,Kenya,9776,0_2_55_1_0_0_0_0_0_0_0,0,2,55,1,0,0,0,0,0,0,0,0_2,0_2_55,0_2_55_1
106142,2664_Kenya,Kenya,9777;32007,1_1_34_0_1_0_0_0_0_0_0,1,1,34,0,1,0,0,0,0,0,0,1_1,1_1_34,1_1_34_0
106143,2665_Kenya,Kenya,9778,0_9_0_5_0_0_0_0_0_0_0,0,9,0,5,0,0,0,0,0,0,0,0_9,0_9_0,0_9_0_5
106144,2665-25_Kenya,Kenya,9778;9779,0_9_0_5_0_0_0_0_0_0_0,0,9,0,5,0,0,0,0,0,0,0,0_9,0_9_0,0_9_0_5
106145,2687_Kenya,Kenya,9780;32008,1_1_34_3_0_0_0_0_0_0_0,1,1,34,3,0,0,0,0,0,0,0,1_1,1_1_34,1_1_34_3
106146,2694_Kenya,Kenya,9781,0_16_4_0_7_0_0_0_0_0_0,0,16,4,0,7,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
106147,2695_Kenya,Kenya,9782,0_16_4_0_4_1_0_0_0_0_0,0,16,4,0,4,1,0,0,0,0,0,0_16,0_16_4,0_16_4_0
106148,2699_Kenya,Kenya,9783,0_0_36_3_0_0_0_0_0_0_0,0,0,36,3,0,0,0,0,0,0,0,0_0,0_0_36,0_0_36_3
106149,2710_Kenya,Kenya,9784,0_16_4_0_10_0_0_0_0_0_0,0,16,4,0,10,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
106150,2728_Kenya,Kenya,9785,1_0_0_1_0_0_0_0_0_1_0,1,0,0,1,0,0,0,0,0,1,0,1_0,1_0_0,1_0_0_1
106151,2730_Kenya,Kenya,9786,0_0_36_1_0_3_0_0_0_0_0,0,0,36,1,0,3,0,0,0,0,0,0_0,0_0_36,0_0_36_1
106152,2783_Kenya,Kenya,9787,0_16_0_1_7_0_0_0_0_0_0,0,16,0,1,7,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
106153,2796_Kenya,Kenya,9788,1_1_2_0_43_0_0_0_0_0_0,1,1,2,0,43,0,0,0,0,0,0,1_1,1_1_2,1_1_2_0
106154,2801_Kenya,Kenya,9789,0_16_4_0_4_0_0_0_0_1_0,0,16,4,0,4,0,0,0,0,1,0,0_16,0_16_4,0_16_4_0
106155,2822_Kenya,Kenya,9790,0_0_33_52_0_0_0_0_0_1_0,0,0,33,52,0,0,0,0,0,1,0,0_0,0_0_33,0_0_33_52
106156,2852_Kenya,Kenya,9770,0_0_33_48_0_0_0_0_0_2_0,0,0,33,48,0,0,0,0,0,2,0,0_0,0_0_33,0_0_33_48
106157,2875_Kenya,Kenya,9791;32009,0_7_0_4_15_0_0_0_0_1_0,0,7,0,4,15,0,0,0,0,1,0,0_7,0_7_0,0_7_0_4
106158,2901_Kenya,Kenya,9785,1_0_0_1_0_0_0_0_0_1_0,1,0,0,1,0,0,0,0,0,1,0,1_0,1_0_0,1_0_0_1
106159,2903_Kenya,Kenya,9792,0_16_0_7_0_1_0_0_0_0_0,0,16,0,7,0,1,0,0,0,0,0,0_16,0_16_0,0_16_0_7
106160,2921_Kenya,Kenya,9793,1_1_34_2_0_0_0_0_0_0_0,1,1,34,2,0,0,0,0,0,0,0,1_1,1_1_34,1_1_34_2
106161,2932_Kenya,Kenya,9794,0_0_33_52_0_0_0_0_0_0_0,0,0,33,52,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_52
106162,3103_Kenya,Kenya,9795,0_0_36_1_0_4_0_0_0_0_0,0,0,36,1,0,4,0,0,0,0,0,0_0,0_0_36,0_0_36_1
106163,3107_Kenya,Kenya,9796,0_9_0_5_4_0_0_0_0_0_0,0,9,0,5,4,0,0,0,0,0,0,0_9,0_9_0,0_9_0_5
106164,3140_Kenya,Kenya,9797;33348,0_0_33_51_0_0_0_0_0_0_0,0,0,33,51,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_51
106165,3313_Kenya,Kenya,9798,0_7_0_4_11_0_0_0_0_0_0,0,7,0,4,11,0,0,0,0,0,0,0_7,0_7_0,0_7_0_4
106166,00N210012_Kenya,Kenya,9799;32010,0_7_0_4_15_0_0_0_0_0_0,0,7,0,4,15,0,0,0,0,0,0,0_7,0_7_0,0_7_0_4
106167,33100099_Kenya,Kenya,9800,0_0_36_1_0_2_0_0_0_0_0,0,0,36,1,0,2,0,0,0,0,0,0_0,0_0_36,0_0_36_1
109097,SA2018-601,South Africa,,,,,,,,,,,,,,_,__,___
109098,SA2018-602,South Africa,,,,,,,,,,,,,,_,__,___
109099,SA2018-603,South Africa,,,,,,,,,,,,,,_,__,___
109100,SA2018-604,South Africa,,,,,,,,,,,,,,_,__,___
109101,SA2018-605,South Africa,,,,,,,,,,,,,,_,__,___
109102,SA2018-606,South Africa,,,,,,,,,,,,,,_,__,___
109103,SA2018-607,South Africa,,,,,,,,,,,,,,_,__,___
109104,SA2018-609,South Africa,,,,,,,,,,,,,,_,__,___
109105,SA2018-610,South Africa,,,,,,,,,,,,,,_,__,___
109106,SA2018-611,South Africa,,,,,,,,,,,,,,_,__,___
109107,SA2018-612,South Africa,,,,,,,,,,,,,,_,__,___
109108,SA2018-613,South Africa,,,,,,,,,,,,,,_,__,___
109109,SA2018-614,South Africa,,,,,,,,,,,,,,_,__,___
109110,SA2018-615,South Africa,,,,,,,,,,,,,,_,__,___
109111,SA2019-810,South Africa,,,,,,,,,,,,,,_,__,___
109112,SA2019-812,South Africa,,,,,,,,,,,,,,_,__,___
109113,SA2019-813,South Africa,,,,,,,,,,,,,,_,__,___
109114,SA2019-814,South Africa,,,,,,,,,,,,,,_,__,___
109115,SA2019-815,South Africa,,,,,,,,,,,,,,_,__,___
109116,SA2019-816,South Africa,,,,,,,,,,,,,,_,__,___
109117,SA2019-817,South Africa,,,,,,,,,,,,,,_,__,___
109118,SA2019-818,South Africa,,,,,,,,,,,,,,_,__,___
109119,SA2019-819,South Africa,,,,,,,,,,,,,,_,__,___
109120,SA2018-820,South Africa,,,,,,,,,,,,,,_,__,___
109121,SA2018-821,South Africa,,,,,,,,,,,,,,_,__,___
111732,GHA-TMH-633,Ghana,12650,0_0_33_12_267_0_0_0_0_0_0,0,0,33,12,267,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
111733,GHA-TMH-657,Ghana,12651;27358,0_0_33_12_272_0_0_0_0_0_0,0,0,33,12,272,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
111734,GHA-TMH-663,Ghana,12652,0_0_11_1_0_5_0_0_0_0_0,0,0,11,1,0,5,0,0,0,0,0,0_0,0_0_11,0_0_11_1
111735,GHA-TMH-679,Ghana,,,,,,,,,,,,,,_,__,___
111736,GHA-TMH-685,Ghana,12653,0_12_6_2_0_0_0_0_0_0_0,0,12,6,2,0,0,0,0,0,0,0,0_12,0_12_6,0_12_6_2
115183,19MUS-SR081,South Africa,,,,,,,,,,,,,,_,__,___
115184,21MUS-AH021,South Africa,,,,,,,,,,,,,,_,__,___
115185,21MUS-AH105,South Africa,,,,,,,,,,,,,,_,__,___
116222,UG010,Uganda,14511,0_16_0_1_16_0_0_0_0_0_0,0,16,0,1,16,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
116223,UG117,Uganda,14512,1_0_0_4_0_0_0_0_0_0_0,1,0,0,4,0,0,0,0,0,0,0,1_0,1_0_0,1_0_0_4
116224,UG182,Uganda,14513,0_16_0_1_23_0_0_0_0_0_0,0,16,0,1,23,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
116225,UG197,Uganda,14514,0_0_36_4_6_0_0_0_0_0_0,0,0,36,4,6,0,0,0,0,0,0,0_0,0_0_36,0_0_36_4
116226,UG245,Uganda,14515,0_0_33_130_0_0_0_0_0_0_0,0,0,33,130,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_130
116227,UG278,Uganda,14516,0_0_33_49_3_0_0_0_0_0_0,0,0,33,49,3,0,0,0,0,0,0,0_0,0_0_33,0_0_33_49
116228,UG282,Uganda,14517,16_1_0_2_4_0_0_0_0_0_0,16,1,0,2,4,0,0,0,0,0,0,16_1,16_1_0,16_1_0_2
116229,UG290,Uganda,14518,0_9_0_12_0_0_0_0_0_0_0,0,9,0,12,0,0,0,0,0,0,0,0_9,0_9_0,0_9_0_12
116230,UG323,Uganda,14519,0_9_0_12_0_1_0_0_0_0_0,0,9,0,12,0,1,0,0,0,0,0,0_9,0_9_0,0_9_0_12
116231,UG055,Uganda,14520,0_0_36_4_8_0_0_0_0_0_0,0,0,36,4,8,0,0,0,0,0,0,0_0,0_0_36,0_0_36_4
116232,UG224,Uganda,14521,1_1_34_5_0_0_0_0_0_0_0,1,1,34,5,0,0,0,0,0,0,0,1_1,1_1_34,1_1_34_5
116233,UG009,Uganda,14522,0_0_33_123_0_0_0_0_0_0_0,0,0,33,123,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_123
116234,UG052,Uganda,14523,0_0_33_128_0_0_0_0_0_0_0,0,0,33,128,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_128
