id,isolate,country,year,'mtrR,NEIS1753(PenA),NG_23S,NG_gyrA,NG_parC,NG_ponA,NG_porB,ST(NG STAR),CC(NG STAR)
116227,UG278,Uganda,2018,10,294,100,7,7,1,3,4692,1603
116228,UG282,Uganda,2018,163,166,100,1,22,100,3,4759,
116229,UG290,Uganda,2018,10,23,,1,22,100,42,,
116230,UG323,Uganda,2018,10,23,100,1,22,100,42,4765,1271
116231,UG055,Uganda,2018,10,294,100,1,22,100,100,1362,1362
116232,UG224,Uganda,2018,10,294,100,1,22,1,13,4736,1603
116233,UG009,Uganda,2018,10,294,100,7,22,1,13,1603,1603
116234,UG052,Uganda,2018,54,294,100,7,22,1,100,4683,1603
116235,UG296,Uganda,2018,332,294,100,1,49,1,3,4760,
116236,UG440,Uganda,2018,10,228,,7,55,1,100,,
116237,UG221,Uganda,2018,10,23,100,1,80,100,100,4715,1771
116238,UG040,Uganda,2018,10,294,100,2,10,100,61,4717,
116239,UG474,Uganda,2018,10,294,100,1,22,100,14,1890,1362
116240,UG501,Uganda,2018,493,228,100,1,49,1,100,4816,1054
116241,UG162,Uganda,2018,69,294,100,1,22,100,100,4723,1362
116242,UG007,Uganda,2018,458,294,100,1,22,1,100,4791,1362
116243,UG393,Uganda,2018,25,166,100,1,22,1,100,4684,
116244,UG411,Uganda,2018,332,294,100,1,49,1,100,4734,1054
116245,UG084,Uganda,2018,461,294,2,1,22,100,100,4780,1362
116246,UG413,Uganda,2018,10,294,,2,10,100,61,,
116247,UG343,Uganda,2018,10,23,100,1,22,100,13,3183,1271
116248,UG435,Uganda,2018,10,285,100,1,49,1,100,1054,1054
116249,UG503,Uganda,2018,10,294,,1,22,100,100,,
116250,UG198,Uganda,2018,476,228,100,1,49,1,100,4786,1054
116251,UG167,Uganda,2018,57,294,100,1,22,100,13,4699,1362
116252,UG189,Uganda,2018,332,1919,100,1,22,1,3,4749,
116253,UG075,Uganda,2018,332,1919,100,1,22,1,3,4749,
117540,NG31052019,Cameroon,2019,38,228,100,7,26,1,12,567,247
117541,NG27082019A,Cameroon,2019,10,21,100,1,22,1,100,4860,1054
117542,NG27082019B,Cameroon,2019,10,21,100,1,22,1,100,4860,1054
117543,NG20042303A,Cameroon,2020,49,294,100,7,183,1,13,4931,1603
117544,NG20042303B,Cameroon,2020,49,294,100,7,183,1,13,4931,1603
117545,NG13112001,Cameroon,2020,10,294,100,100,2,100,100,463,352
117546,NG14112002,Cameroon,2020,10,285,100,1,49,100,100,4861,1054
117547,NG14112003,Cameroon,2020,18,294,100,7,15,1,13,3318,1096
118224,NG20042303AMaxwell,Cameroon,2020,49,294,100,7,183,1,13,4931,1603
118225,NG14112003Maxwell,Cameroon,2020,18,294,100,7,15,1,13,3318,1096
123150,FF05_01-134,Zambia,2020,54,166,100,1,100,100,13,,
123151,FF05_02-104,Zambia,2020,54,166,100,1,4,100,100,,
123152,FF05_02-210,Zambia,2020,54,166,100,1,100,100,13,,
123332,7148,South Africa,2022,,,,,,,,,
123333,5054,South Africa,2022,,,,,,,,,
123334,1077,South Africa,2022,,,,,,,,,
123335,2003,South Africa,2022,,,,,,,,,
123336,7023,South Africa,2022,,,,,,,,,
123337,8054,South Africa,2022,,,,,,,,,
123338,7064,South Africa,2022,,,,,,,,,
123339,5051,South Africa,2022,,,,,,,,,
123340,3146,South Africa,2022,,,,,,,,,
123341,8081,South Africa,2022,,,,,,,,,
123342,1030,South Africa,2022,,,,,,,,,
123343,3159,South Africa,2022,,,,,,,,,
123344,3123,South Africa,2022,,,,,,,,,
123345,1075,South Africa,2022,,,,,,,,,
123346,8050,South Africa,2022,,,,,,,,,
123347,3031,South Africa,2022,,,,,,,,,
125903,MDG-NG10,Madagascar,2020,10,294,100,7,26,100,100,,
125904,MDG-NG11,Madagascar,2015,10,294,100,7,26,100,13,,
125905,MDG-NG12,Madagascar,2019,54,228,100,7,26,1,100,3348,309
125906,MDG-NG13,Madagascar,2020,10,294,100,7,26,1,14,,
125907,MDG-NG14,Madagascar,2020,19,23,,7,3,1,100,,
125908,MDG-NG15,Madagascar,2020,18,294,100,7,195,1,,,
125909,MDG-NG16,Madagascar,2016,762,3005,100,7,55,1,13,,
125910,MDG-NG17,Madagascar,2020,10,294,100,7,26,100,100,,
125911,MDG-NG18,Madagascar,2020,19,23,100,7,3,1,100,430,73
125912,MDG-NG19,Madagascar,2014,10,294,100,7,7,1,100,861,352
125913,MDG-NG1,Madagascar,2020,10,294,100,7,26,100,14,,
125914,MDG-NG20,Madagascar,2020,69,285,100,1,22,1,100,1496,958
125915,MDG-NG21,Madagascar,2014,10,294,100,7,18,1,100,,
125916,MDG-NG22,Madagascar,2020,10,294,100,7,26,100,13,,
125917,MDG-NG23,Madagascar,2014,10,294,100,7,,100,13,,
125918,MDG-NG24,Madagascar,2020,10,294,100,7,26,100,100,,
125919,MDG-NG25,Madagascar,2020,10,228,100,7,13,1,13,,
125920,MDG-NG26,Madagascar,2020,18,294,100,7,55,1,13,,
125921,MDG-NG27,Madagascar,2020,18,20,100,7,195,1,14,,
125922,MDG-NG28,Madagascar,2017,10,2368,100,7,13,100,14,,
125923,MDG-NG29,Madagascar,2019,10,228,100,7,26,1,13,869,2351
125924,MDG-NG2,Madagascar,2020,10,228,100,7,132,1,100,,
125925,MDG-NG30,Madagascar,2020,10,294,100,7,132,100,100,,
125926,MDG-NG31,Madagascar,2020,10,23,100,7,3,1,100,,
125927,MDG-NG32,Madagascar,2020,18,20,100,7,195,1,14,,
125928,MDG-NG33,Madagascar,2020,10,228,100,7,13,1,3,,
125929,MDG-NG34,Madagascar,2020,10,228,100,7,26,1,100,1933,309
125930,MDG-NG35,Madagascar,2020,54,228,100,7,26,1,14,,
125931,MDG-NG36,Madagascar,2020,476,23,100,7,3,1,100,,
125932,MDG-NG37,Madagascar,2020,10,294,100,7,26,100,13,,
125933,MDG-NG38,Madagascar,2017,10,294,100,7,26,100,100,,
125934,MDG-NG39,Madagascar,2020,10,294,100,7,26,100,100,,
125935,MDG-NG3,Madagascar,2019,721,20,100,7,195,1,14,,
125936,MDG-NG40,Madagascar,2020,54,228,100,7,26,100,14,,
125937,MDG-NG41,Madagascar,2020,1,23,100,7,3,1,100,,
125938,MDG-NG42,Madagascar,2020,18,20,100,7,195,1,14,,
125939,MDG-NG43,Madagascar,2019,10,228,100,7,26,1,13,869,2351
125940,MDG-NG44,Madagascar,2020,10,228,100,7,26,1,100,1933,309
125941,MDG-NG45,Madagascar,2020,18,20,100,7,195,1,,,
125942,MDG-NG46,Madagascar,2020,10,228,100,7,20,1,3,,
125943,MDG-NG47,Madagascar,2016,10,228,100,7,13,1,14,,
125945,MDG-NG4,Madagascar,2020,10,294,100,7,26,1,14,,
125947,MDG-NG5,Madagascar,2020,10,23,100,7,3,1,100,,
125948,MDG-NG6,Madagascar,2020,10,3006,100,7,26,1,100,,
125950,MDG-NG8,Madagascar,2016,18,20,100,7,195,1,1,,
125951,MDG-NG9,Madagascar,2020,10,294,100,7,18,1,13,,
126241,7135,South Africa,2022,,,,,,,,,
126242,8099,South Africa,2022,,,,,,,,,
126243,3096,South Africa,2022,,,,,,,,,
126244,8076,South Africa,2022,,,,,,,,,
126245,8060,South Africa,2022,,,,,,,,,
126246,3140,South Africa,2022,,,,,,,,,
126247,3166,South Africa,2022,,,,,,,,,
126248,3085,South Africa,2022,,,,,,,,,
126249,1071,South Africa,2022,,,,,,,,,
126250,3118,South Africa,2022,,,,,,,,,
126251,8023,South Africa,2022,,,,,,,,,
126252,8039,South Africa,2022,,,,,,,,,
126253,1040,South Africa,2022,,,,,,,,,
126254,3062,South Africa,2022,,,,,,,,,
126255,8030,South Africa,2022,,,,,,,,,
126256,3095,South Africa,2022,,,,,,,,,
126257,1037,South Africa,2022,,,,,,,,,
126258,7152,South Africa,2022,,,,,,,,,
126259,5068,South Africa,2022,,,,,,,,,
126260,8102,South Africa,2022,,,,,,,,,
126261,7072,South Africa,2022,,,,,,,,,
126262,5059,South Africa,2022,,,,,,,,,
126263,5029,South Africa,2022,,,,,,,,,
126264,1065,South Africa,2022,,,,,,,,,
126265,8098,South Africa,2022,,,,,,,,,
126266,1060,South Africa,2022,,,,,,,,,
126267,1053,South Africa,2022,,,,,,,,,
126268,8011,South Africa,2022,,,,,,,,,
126269,3075,South Africa,2022,,,,,,,,,
126270,7154,South Africa,2022,,,,,,,,,
126271,3158,South Africa,2022,,,,,,,,,
126272,3121,South Africa,2022,,,,,,,,,
126273,3163,South Africa,2022,,,,,,,,,
126274,8078,South Africa,2022,,,,,,,,,
126275,5060,South Africa,2022,,,,,,,,,
126929,3115,South Africa,2022,,,,,,,,,
126930,5043,South Africa,2022,,,,,,,,,
126931,5018,South Africa,2022,,,,,,,,,
126932,7079,South Africa,2022,,,,,,,,,
126933,3044,South Africa,2022,,,,,,,,,
126934,7039,South Africa,2022,,,,,,,,,
126935,5037,South Africa,2022,,,,,,,,,
126936,3076,South Africa,2022,,,,,,,,,
126937,7070,South Africa,2022,,,,,,,,,
126938,1074,South Africa,2022,,,,,,,,,
126939,7129,South Africa,2022,,,,,,,,,
126940,1087,South Africa,2022,,,,,,,,,
126941,3108,South Africa,2022,,,,,,,,,
126942,1109,South Africa,2022,,,,,,,,,
126943,5034,South Africa,2022,,,,,,,,,
126944,7052,South Africa,2022,,,,,,,,,
126945,1105,South Africa,2022,,,,,,,,,
126946,5006,South Africa,2022,,,,,,,,,
126947,7113,South Africa,2022,,,,,,,,,
126948,8089,South Africa,2022,,,,,,,,,
126949,5025,South Africa,2022,,,,,,,,,
131095,GP-12-MUS-048,South Africa,2012,1,3248,100,1,4,1,3,,
131096,GP-12-MUS-049,South Africa,2012,10,23,100,100,89,100,100,,
131097,GP-12-MUS-052,South Africa,2012,10,23,100,1,2,1,100,,
131098,GP-12-MUS-069,South Africa,2012,10,294,100,100,100,100,3,157,42
131099,GP-12-MUS-071,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131100,GP-12-MUS-086,South Africa,2012,10,294,100,100,2,100,13,269,42
131101,GP-12-MUS-088,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131102,GP-12-MUS-092,South Africa,2012,10,23,100,100,89,100,100,,
131103,GP-12-MUS-093,South Africa,2012,10,294,100,100,2,100,13,269,42
131104,GP-12-MUS-096,South Africa,2012,10,23,100,100,89,1,3,,
131105,GP-12-MUS-099,South Africa,2012,171,294,100,1,100,100,3,,
131106,GP-12-MUS-102,South Africa,2012,10,23,100,1,102,100,3,1930,1771
131107,GP-12-MUS-107,South Africa,2012,62,294,100,1,4,100,3,,
131108,GP-12-MUS-109,South Africa,2012,10,166,100,1,100,100,100,,
131109,GP-12-MUS-110,South Africa,2012,695,228,100,7,15,1,100,,
131110,GP-12-MUS-115,South Africa,2012,696,23,100,1,4,1,13,,
131111,GP-12-MUS-116,South Africa,2012,10,20,100,1,4,100,100,,
131112,GP-12-MUS-117,South Africa,2012,1,228,100,100,2,1,8,,
131113,GP-12-MUS-124,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131114,GP-12-MUS-137,South Africa,2012,10,294,100,100,2,100,14,357,42
131115,GP-12-MUS-163,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131116,GP-12-MUS-166,South Africa,2012,25,166,100,1,4,100,8,438,
131117,GP-12-MUS-170,South Africa,2012,1,228,100,1,4,1,14,,
131118,GP-12-MUS-180,South Africa,2012,697,294,100,100,2,100,13,,
131119,GP-12-MUS-190,South Africa,2012,276,285,100,1,49,1,14,1943,1054
131120,GP-12-MUS-199,South Africa,2012,10,23,100,1,4,1,100,1627,1771
131121,GP-12-MUS-205,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131122,GP-12-MUS-208,South Africa,2012,18,228,100,7,15,1,13,1643,1096
131123,GP-12-MUS-211,South Africa,2012,10,20,100,100,2,1,11,,
131124,GP-12-MUS-214,South Africa,2012,10,23,100,1,4,1,100,1627,1771
131125,GP-12-MUS-220,South Africa,2012,276,285,100,1,49,1,14,1943,1054
131126,GP-12-MUS-242,South Africa,2012,,,100,,,,13,,
131127,GP-12-MUS-250,South Africa,2012,10,294,100,100,2,100,13,269,42
131128,GP-12-MUS-251,South Africa,2012,18,228,100,7,20,1,100,1628,1632
131129,GP-12-MUS-252,South Africa,2012,1,166,100,100,2,100,8,,
131130,GP-12-MUS-264,South Africa,2012,69,285,100,1,22,1,100,1496,958
131131,GP-12-MUS-273,South Africa,2012,38,228,100,7,15,1,13,1096,1096
131132,GP-12-MUS-276,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131133,GP-12-MUS-283,South Africa,2012,69,23,100,1,100,1,13,,
131134,GP-12-MUS-289,South Africa,2012,38,228,100,7,15,1,19,,
131135,GP-12-MUS-291,South Africa,2012,25,166,100,1,4,100,8,438,
131136,GP-12-MUS-297,South Africa,2012,54,228,100,100,1,100,100,1645,20
131137,GP-12-MUS-303,South Africa,2012,698,228,100,100,1,100,100,,
131138,GP-12-MUS-307,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131139,GP-12-MUS-311,South Africa,2012,10,166,100,100,1,1,100,5208,
131140,GP-12-MUS-312,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131141,GP-12-MUS-317,South Africa,2012,69,285,100,1,22,1,100,1496,958
131142,GP-12-MUS-319,South Africa,2012,10,23,100,1,4,1,100,1627,1771
131143,GP-12-MUS-324,South Africa,2012,25,166,100,1,4,100,14,,
131144,GP-12-MUS-325,South Africa,2012,10,294,100,100,2,100,13,269,42
131145,GP-12-MUS-331,South Africa,2012,18,228,100,7,55,1,100,1625,1632
131146,GP-12-MUS-333,South Africa,2012,54,166,100,1,4,1,100,,
131147,GP-12-MUS-337,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131148,GP-12-MUS-339,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131149,GP-12-MUS-356,South Africa,2012,383,285,100,1,22,1,3,,
131150,GP-12-MUS-358,South Africa,2012,383,285,100,1,22,1,3,,
131151,GP-12-MUS-361,South Africa,2012,10,166,100,1,4,100,100,,
131152,GP-12-MUS-363,South Africa,2012,54,23,100,1,4,100,100,577,1771
131153,GP-12-MUS-368,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131154,GP-12-MUS-371,South Africa,2012,18,228,100,7,15,1,100,1632,1632
131155,GP-13-MUS-001,South Africa,2013,18,228,100,100,2,1,14,,
131156,GP-13-MUS-015,South Africa,2013,503,285,100,1,49,1,14,,
131157,GP-13-MUS-032,South Africa,2013,18,228,100,7,205,1,100,,
131158,GP-13-MUS-044,South Africa,2013,171,228,100,7,15,1,100,,
131159,GP-13-MUS-047,South Africa,2013,69,285,100,1,22,1,13,1543,958
131160,GP-13-MUS-051,South Africa,2013,503,285,100,1,49,1,14,,
131161,GP-13-MUS-052,South Africa,2013,503,285,100,1,49,1,3,,
131162,GP-13-MUS-053,South Africa,2013,18,228,100,7,26,1,100,,
131163,GP-13-MUS-067,South Africa,2013,699,285,100,1,22,1,13,,
131164,GP-13-MUS-068,South Africa,2013,54,228,100,100,1,100,100,1645,20
131165,GP-13-MUS-070,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131166,GP-13-MUS-073,South Africa,2013,700,294,100,100,7,100,100,,
131167,GP-13-MUS-076,South Africa,2013,10,23,100,1,4,1,19,,
131168,GP-13-MUS-077,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131169,GP-13-MUS-080,South Africa,2013,197,294,100,100,2,100,3,,
131170,GP-13-MUS-081,South Africa,2013,10,294,100,100,2,100,100,463,352
131171,GP-13-MUS-083,South Africa,2013,,,,,,,,,
131172,GP13-MUS-085,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131173,GP13-MUS-086,South Africa,2013,54,228,100,100,1,100,100,1645,20
131174,GP13-MUS-088,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131175,GP-13-MUS-096,South Africa,2013,10,23,100,100,89,100,8,,
131176,GP-13-MUS-099,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131177,GP-13-MUS-103,South Africa,2013,10,287,100,1,4,100,3,,
131178,GP-13-MUS-105,South Africa,2013,54,515,100,100,2,100,100,1749,1958
131179,GP-13-MUS-107,South Africa,2013,10,23,100,1,102,100,3,1930,1771
131180,GP-13-MUS-109,South Africa,2013,386,23,100,32,4,1,100,3430,
131181,GP-13-MUS-116,South Africa,2013,10,294,100,100,2,100,13,269,42
131182,GP-13-MUS-120,South Africa,2013,10,23,100,1,4,1,100,1627,1771
131183,GP-13-MUS-121,South Africa,2013,18,228,,7,4,1,100,,
131184,GP-13-MUS-129,South Africa,2013,54,294,100,100,2,100,3,,
131185,GP-13-MUS-132,South Africa,2013,701,23,100,100,89,100,100,,
131186,GP-13-MUS-133,South Africa,2013,18,228,100,7,15,1,14,1304,1632
131187,GP-13-MUS-134,South Africa,2013,10,294,100,100,7,100,100,352,352
131188,GP13-MUS-144,South Africa,2013,69,23,100,100,2,100,100,1835,1958
131189,GP13-MUS-145,South Africa,2013,54,228,100,100,1,100,100,1645,20
131190,GP13-MUS-152,South Africa,2013,57,166,100,100,7,100,3,,
131191,GP13-MUS-177,South Africa,2013,10,294,100,100,2,100,100,463,352
131192,GP13-MUS-179,South Africa,2013,254,228,100,7,26,1,13,,
131193,GP13-MUS-187,South Africa,2013,18,228,100,7,20,1,100,1628,1632
131194,GP13-MUS-189,South Africa,2013,386,23,100,32,4,1,100,3430,
131195,GP13-MUS-190,South Africa,2013,54,228,100,100,1,100,100,1645,20
131196,GP13-MUS-195,South Africa,2013,254,228,100,7,26,1,13,,
131197,GP13-MUS-196,South Africa,2013,69,285,100,1,22,1,13,1543,958
131198,GP13-MUS-203,South Africa,2013,10,166,100,100,89,100,14,,
131199,GP13-MUS-206,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131200,GP13-MUS-208,South Africa,2013,18,228,100,7,15,1,3,5205,1632
131201,GP13-MUS-210,South Africa,2013,18,228,100,7,15,1,3,5205,1632
131202,GP13-MUS-213,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131203,GP13-MUS-215,South Africa,2013,1,23,100,1,4,1,100,,
131204,GP13-MUS-218,South Africa,2013,10,294,100,100,2,100,13,269,42
131205,GP13-MUS-225,South Africa,2013,54,515,100,100,2,100,11,,
131206,GP13-MUS-231,South Africa,2013,171,294,100,1,90,100,3,1758,
131207,GP-13-MUS-235,South Africa,2013,700,294,100,100,100,100,11,,
131208,GP-13-MUS-236,South Africa,2013,10,294,100,100,207,1,14,,
131209,GP-13-MUS-243,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131210,GP-13-MUS-244,South Africa,2013,701,23,100,100,89,100,100,,
131211,GP-13-MUS-247,South Africa,2013,10,294,100,100,100,100,3,157,42
131212,GP-13-MUS-253,South Africa,2013,10,23,100,1,4,1,13,1624,1771
131213,GP-13-MUS-256,South Africa,2013,18,228,100,7,1,1,100,,
131214,GP-13-MUS-257,South Africa,2013,18,228,100,7,15,1,100,1632,1632
131215,GP-13-MUS-258,South Africa,2013,702,228,100,7,15,1,100,,
131216,GP-13-MUS-269,South Africa,2013,209,228,100,7,15,1,100,,
131217,GP-13-MUS-271,South Africa,2013,54,23,100,100,1,100,3,,
131218,GP-13-MUS-272,South Africa,2013,171,294,100,1,90,100,14,,
131219,GP-13-MUS-275,South Africa,2013,10,23,100,1,4,1,100,1627,1771
131220,GP-13-MUS-276,South Africa,2013,25,166,100,1,4,100,14,,
131221,GP-14-MUS-017,South Africa,2014,1,294,100,100,2,1,100,162,139
131222,GP-14-MUS-032,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131223,GP-14-MUS-033,South Africa,2014,19,287,100,7,8,1,23,3366,
131224,GP-14-MUS-034,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131225,GP-14-MUS-042,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131226,GP-14-MUS-052,South Africa,2014,171,294,100,1,90,100,3,1758,
131227,GP-14-MUS-054,South Africa,2014,10,23,100,1,4,1,13,1624,1771
131228,GP-14-MUS-057,South Africa,2014,18,228,100,7,55,1,100,1625,1632
131229,GP-14-MUS-063,South Africa,2014,69,23,100,100,2,100,100,1835,1958
131230,GP-14-MUS-064,South Africa,2014,386,23,100,32,4,1,100,3430,
131231,GP-14-MUS-069,South Africa,2014,25,166,100,1,4,100,8,438,
131232,GP-14-MUS-081,South Africa,2014,54,515,100,100,2,100,17,,
131233,GP-14-MUS-082,South Africa,2014,10,166,100,100,89,100,13,,
131234,GP-14-MUS-088,South Africa,2014,65,23,100,1,4,100,100,,
131235,GP-14-MUS-092,South Africa,2014,54,228,100,100,1,100,100,1645,20
131236,GP-14-MUS-094,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131237,GP-14-MUS-095,South Africa,2014,1,266,100,1,3,1,11,90,90
131238,GP-14-MUS-099,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131239,GP-14-MUS-103,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131240,GP-14-MUS-105,South Africa,2014,69,285,100,1,22,100,100,,
131241,GP-14-MUS-107,South Africa,2014,10,23,100,1,4,100,100,1771,1771
131242,GP-14-MUS-110,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131243,GP-14-MUS-114,South Africa,2014,430,166,100,1,38,1,100,,
131244,GP-14-MUS-117,South Africa,2014,383,285,100,1,22,1,13,3426,958
131245,GP-14-MUS-121,South Africa,2014,383,494,100,1,22,1,100,,
131246,GP-14-MUS-139,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131247,GP-14-MUS-143,South Africa,2014,18,228,100,7,26,1,13,,
131248,GP-14-MUS-147,South Africa,2014,69,3248,100,1,2,100,14,,
131249,GP-14-MUS-150,South Africa,2014,10,228,100,7,15,1,100,455,309
131250,GP-14-MUS-151,South Africa,2014,,228,100,7,15,1,100,,
131251,GP-14-MUS-154,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131252,GP-14-MUS-156,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131253,GP-14-MUS-165,South Africa,2014,69,285,100,1,22,1,100,1496,958
131254,GP-14-MUS-183,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131255,GP-14-MUS-189,South Africa,2014,10,294,100,1,2,100,13,,
131256,GP-14-MUS-194,South Africa,2014,503,294,100,1,49,1,14,4809,
131257,GP-14-MUS-211,South Africa,2014,1,3253,100,1,4,1,3,,
131258,GP-14-MUS-212,South Africa,2014,1,21,100,1,4,1,9,,
131259,GP-14-MUS-213,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131260,GP-14-MUS-214,South Africa,2014,254,228,100,7,15,1,13,3408,1096
131261,GP-14-MUS-218,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131262,GP-14-MUS-219,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131263,GP-14-MUS-221,South Africa,2014,54,228,100,7,26,1,13,6299,2351
131264,GP-14-MUS-224,South Africa,2014,10,294,100,1,4,100,3,,
131265,GP-14-MUS-232,South Africa,2014,503,285,100,1,49,1,100,5251,1054
131266,GP-14-MUS-238,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131267,GP-14-MUS-243,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131268,GP-14-MUS-244,South Africa,2014,18,228,100,7,15,1,3,5205,1632
131269,GP-14-MUS-246,South Africa,2014,383,285,100,1,22,1,3,,
131270,GP-14-MUS-247,South Africa,2014,18,228,100,7,15,1,19,,
131271,GP-14-MUS-250,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131272,GP-14-MUS-251,South Africa,2014,171,294,100,1,100,100,8,,
131273,GP-14-MUS-252,South Africa,2014,18,228,100,7,15,1,100,1632,1632
131274,15MUS-AH001,South Africa,2015,237,228,100,7,15,1,19,,
131275,15MUS-AH007,South Africa,2015,253,23,100,100,2,100,100,1834,1958
131276,15MUS-AH008,South Africa,2015,18,228,100,7,15,1,100,1632,1632
131277,15MUS-AH009,South Africa,2015,38,228,100,7,3,1,100,3100,309
131278,15MUS-AH021,South Africa,2015,18,228,100,7,4,1,100,5961,1632
131279,15MUS-AH029,South Africa,2015,10,294,100,1,4,100,3,,
131280,15MUS-AH030,South Africa,2015,69,285,100,1,22,1,100,1496,958
131281,15MUS-AH041,South Africa,2015,18,228,100,7,20,1,100,1628,1632
131282,15MUS-AH042,South Africa,2015,10,294,100,100,2,100,14,357,42
131283,15MUS-AH060,South Africa,2015,10,23,100,1,4,1,100,1627,1771
131284,15MUS-AH061,South Africa,2015,10,285,100,1,49,1,14,1593,1054
131285,15MUS-AH063,South Africa,2015,18,228,100,7,15,1,100,1632,1632
131286,15MUS-AH064,South Africa,2015,10,166,100,100,89,100,13,,
131287,15MUS-AH068,South Africa,2015,18,228,100,7,15,1,13,1643,1096
131288,15MUS-AH077,South Africa,2015,69,23,100,100,2,100,100,1835,1958
131289,15MUS-AH078,South Africa,2015,18,228,100,7,15,1,100,1632,1632
131290,15MUS-AH079,South Africa,2015,18,228,100,7,205,1,14,,
131291,15MUS-AH083,South Africa,2015,10,23,100,100,89,1,14,,
131292,15MUS-AH084,South Africa,2015,18,228,100,7,20,1,100,1628,1632
131293,15MUS-AH085,South Africa,2015,65,23,100,1,4,100,100,,
131294,15MUS-AH086,South Africa,2015,10,294,100,100,89,1,14,,
131295,15MUS-AH087,South Africa,2015,383,285,100,1,22,1,14,,
131296,15MUS-AH088,South Africa,2015,386,23,100,32,4,1,100,3430,
131297,15MUS-AH089,South Africa,2015,254,228,100,7,15,1,13,3408,1096
131298,15MUS-AH092,South Africa,2015,171,294,100,1,90,100,14,,
131299,15MUS-AH093,South Africa,2015,503,285,100,1,49,1,3,,
131300,15MUS-AH094,South Africa,2015,54,515,100,100,2,100,100,1749,1958
131301,15MUS-AH096,South Africa,2015,703,294,100,100,2,100,3,,
131302,15MUS-AH101,South Africa,2015,503,294,100,1,49,1,14,4809,
131303,15MUS-AH103,South Africa,2015,18,228,100,7,15,1,100,1632,1632
131304,15MUS-AH106,South Africa,2015,10,23,100,1,4,1,100,1627,1771
131305,15MUS-AH108,South Africa,2015,254,228,100,7,15,1,13,3408,1096
131306,15MUS-AH112,South Africa,2015,54,285,100,1,22,1,13,,
131307,15MUS-AH113,South Africa,2015,289,294,100,100,2,100,3,,
131308,15MUS-AH117,South Africa,2015,10,285,100,1,49,1,14,1593,1054
131309,15MUS-AH119,South Africa,2015,704,294,100,100,100,100,13,,
131310,15MUS-AH121,South Africa,2015,10,228,100,7,15,100,14,,
131311,15MUS-AH122,South Africa,2015,10,23,100,1,89,100,14,,
131312,15MUS-AH130,South Africa,2015,18,228,100,7,15,1,100,1632,1632
131313,15MUS-AH131,South Africa,2015,10,17,100,1,4,100,100,,
131314,15MUS-AH133,South Africa,2015,10,23,100,1,4,1,13,1624,1771
131315,15MUS-AH135,South Africa,2015,9,23,100,1,89,1,100,,
131316,15MUS-AH138,South Africa,2015,18,228,100,7,15,1,100,1632,1632
131317,15MUS-AH140,South Africa,2015,18,228,100,7,15,1,100,1632,1632
131318,15MUS-AH143,South Africa,2015,18,228,100,7,20,1,100,1628,1632
131319,15MUS-AH146,South Africa,2015,10,228,100,7,15,1,13,,
131320,15MUS-AH148,South Africa,2015,18,228,100,7,26,1,100,,
131321,15MUS-AH149,South Africa,2015,610,294,100,1,4,100,4,5664,
131322,15MUS-AH150,South Africa,2015,,23,100,1,4,1,100,,
131323,15MUS-AH152,South Africa,2015,5,228,100,7,15,1,100,2057,309
131324,15MUS-AH153,South Africa,2015,18,285,100,7,2,1,100,,
131325,15MUS-AH154,South Africa,2015,18,228,100,7,15,1,3,5205,1632
131326,15MUS-AH160,South Africa,2015,10,294,100,100,89,1,100,1760,352
