id,isolate,cgST (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),LIN1,LIN2,LIN3,LIN4
106124,1912_Kenya,9759,0_9_0_5_5_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
106125,1912-5_Kenya,9760,0_0_33_48_0_0_0_0_0_1_0,0,0_0,0_0_33,0_0_33_48
106126,2086_Kenya,9761,0_0_33_52_1_0_0_0_0_1_0,0,0_0,0_0_33,0_0_33_52
106127,2172_Kenya,9762,0_16_0_7_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_7
106128,2245_Kenya,9763,0_2_55_1_0_1_0_0_0_0_0,0,0_2,0_2_55,0_2_55_1
106129,2250_Kenya,9764,0_0_33_48_0_0_0_0_1_0_0,0,0_0,0_0_33,0_0_33_48
106130,2320_Kenya,9765,0_9_0_5_2_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
106131,2350_Kenya,9766,0_0_36_1_0_1_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
106132,2372_Kenya,9767; 27089; 32005,0_0_36_1_0_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
106133,2416_Kenya,9768,1_0_0_1_0_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_1
106134,2435_Kenya,9769; 29589,0_16_0_1_3_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
106135,2438_Kenya,9770,0_0_33_48_0_0_0_0_0_2_0,0,0_0,0_0_33,0_0_33_48
106136,2533_Kenya,9771,1_0_0_0_0_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_0
106137,2537_Kenya,9772; 32006,1_1_34_0_1_0_0_0_0_1_0,1,1_1,1_1_34,1_1_34_0
106138,2560_Kenya,9773,0_16_4_0_4_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
106139,2564_Kenya,9774; 41292,0_0_33_46_7_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
106140,2628_Kenya,9775,0_0_33_52_1_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_52
106141,2643_Kenya,9776,0_2_55_1_0_0_0_0_0_0_0,0,0_2,0_2_55,0_2_55_1
106142,2664_Kenya,9777; 32007,1_1_34_0_1_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_0
106143,2665_Kenya,9778,0_9_0_5_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
106144,2665-25_Kenya,9778; 9779,0_9_0_5_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
106145,2687_Kenya,9780; 32008,1_1_34_3_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_3
106146,2694_Kenya,9781; 41293; 44606,0_16_4_0_7_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
106147,2695_Kenya,9782,0_16_4_0_4_1_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
106148,2699_Kenya,9783,0_0_36_3_0_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_3
106149,2710_Kenya,9784; 44607,0_16_4_0_10_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
106150,2728_Kenya,9785,1_0_0_1_0_0_0_0_0_1_0,1,1_0,1_0_0,1_0_0_1
106151,2730_Kenya,9786; 41730,0_0_36_1_0_3_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
106152,2783_Kenya,9787; 44608,0_16_0_1_7_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
106153,2796_Kenya,9788; 40519,1_1_2_0_43_0_0_0_0_0_0,1,1_1,1_1_2,1_1_2_0
106154,2801_Kenya,9789,0_16_4_0_4_0_0_0_0_1_0,0,0_16,0_16_4,0_16_4_0
106155,2822_Kenya,9790,0_0_33_52_0_0_0_0_0_1_0,0,0_0,0_0_33,0_0_33_52
106156,2852_Kenya,9770,0_0_33_48_0_0_0_0_0_2_0,0,0_0,0_0_33,0_0_33_48
106157,2875_Kenya,9791; 32009,0_7_0_4_15_0_0_0_0_1_0,0,0_7,0_7_0,0_7_0_4
106158,2901_Kenya,9785,1_0_0_1_0_0_0_0_0_1_0,1,1_0,1_0_0,1_0_0_1
106159,2903_Kenya,9792,0_16_0_7_0_1_0_0_0_0_0,0,0_16,0_16_0,0_16_0_7
106160,2921_Kenya,9793,1_1_34_2_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_2
106161,2932_Kenya,9794,0_0_33_52_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_52
106162,3103_Kenya,9795,0_0_36_1_0_4_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
106163,3107_Kenya,9796; 40520,0_9_0_5_4_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
106164,3140_Kenya,9797; 33348,0_0_33_51_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_51
106165,3313_Kenya,9798,0_7_0_4_11_0_0_0_0_0_0,0,0_7,0_7_0,0_7_0_4
106166,00N210012_Kenya,9799; 32010,0_7_0_4_15_0_0_0_0_0_0,0,0_7,0_7_0,0_7_0_4
106167,33100099_Kenya,9800,0_0_36_1_0_2_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
109097,SA2018-601,,,,,,
109098,SA2018-602,,,,,,
109099,SA2018-603,,,,,,
109100,SA2018-604,,,,,,
109101,SA2018-605,,,,,,
109102,SA2018-606,,,,,,
109103,SA2018-607,,,,,,
109104,SA2018-609,,,,,,
109105,SA2018-610,,,,,,
109106,SA2018-611,,,,,,
109107,SA2018-612,,,,,,
109108,SA2018-613,,,,,,
109109,SA2018-614,,,,,,
109110,SA2018-615,,,,,,
109111,SA2019-810,,,,,,
109112,SA2019-812,,,,,,
109113,SA2019-813,,,,,,
109114,SA2019-814,,,,,,
109115,SA2019-815,,,,,,
109116,SA2019-816,,,,,,
109117,SA2019-817,,,,,,
109118,SA2019-818,,,,,,
109119,SA2019-819,,,,,,
109120,SA2018-820,,,,,,
109121,SA2018-821,,,,,,
111732,GHA-TMH-633,12650,0_0_33_12_267_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
111733,GHA-TMH-657,12651; 27358,0_0_33_12_272_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
111734,GHA-TMH-663,12652,0_0_11_1_0_5_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
111735,GHA-TMH-679,,,,,,
111736,GHA-TMH-685,12653,0_12_6_2_0_0_0_0_0_0_0,0,0_12,0_12_6,0_12_6_2
116222,UG010,14511,0_16_0_1_16_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
116223,UG117,14512,1_0_0_4_0_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_4
116224,UG182,14513,0_16_0_1_23_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
116225,UG197,14514,0_0_36_4_6_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
116226,UG245,14515,0_0_33_130_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_130
116227,UG278,14516,0_0_33_49_3_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_49
116228,UG282,14517,16_1_0_2_4_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_2
116229,UG290,14518,0_9_0_12_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_12
116230,UG323,14519,0_9_0_12_0_1_0_0_0_0_0,0,0_9,0_9_0,0_9_0_12
116231,UG055,14520,0_0_36_4_8_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
116232,UG224,14521; 44860,1_1_34_5_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_5
116233,UG009,14522,0_0_33_123_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_123
116234,UG052,14523,0_0_33_128_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_128
116235,UG296,14524,0_16_0_1_29_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
116236,UG440,14525,0_0_33_116_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_116
116237,UG221,14526,0_9_0_5_9_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
116238,UG040,14527,1_1_56_0_0_0_0_0_0_0_0,1,1_1,1_1_56,1_1_56_0
116239,UG474,14528,0_0_36_8_0_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_8
116240,UG501,14529,0_16_8_0_0_0_0_0_0_0_0,0,0_16,0_16_8,0_16_8_0
116241,UG162,14530,0_0_36_4_12_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
116242,UG007,14531,0_16_9_0_0_0_0_0_0_0_0,0,0_16,0_16_9,0_16_9_0
116243,UG393,14532; 44861,0_2_21_0_13_0_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
116244,UG411,14533,0_16_9_4_0_0_0_0_0_0_0,0,0_16,0_16_9,0_16_9_4
116245,UG084,14534,1_1_34_12_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_12
116246,UG413,14535; 20257,1_1_56_0_1_0_0_0_0_0_0,1,1_1,1_1_56,1_1_56_0
116247,UG343,14536,0_9_0_7_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_7
116248,UG435,14537; 44862,0_16_0_10_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_10
116249,UG503,14538; 44863,0_2_55_3_0_0_0_0_0_0_0,0,0_2,0_2_55,0_2_55_3
116250,UG198,14539,0_16_4_1_0_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_1
116251,UG167,14540,1_0_0_3_0_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_3
116252,UG189,14541,0_16_9_3_0_0_0_0_0_0_0,0,0_16,0_16_9,0_16_9_3
116253,UG075,14542,0_16_9_2_0_0_0_0_0_0_0,0,0_16,0_16_9,0_16_9_2
117540,NG31052019,15175,0_0_33_12_5_4_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
117541,NG27082019A,15176; 26043,0_16_0_11_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_11
117542,NG27082019B,15177,0_16_0_11_0_0_0_0_0_1_0,0,0_16,0_16_0,0_16_0_11
117543,NG20042303A,15178,1_1_2_14_4_0_0_0_0_0_0,1,1_1,1_1_2,1_1_2_14
117544,NG20042303B,15178,1_1_2_14_4_0_0_0_0_0_0,1,1_1,1_1_2,1_1_2_14
117545,NG13112001,15179,1_1_17_14_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_14
117546,NG14112002,15180,0_16_0_2_8_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_2
117547,NG14112003,15181,0_0_33_83_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_83
118224,NG20042303AMaxwell,15178,1_1_2_14_4_0_0_0_0_0_0,1,1_1,1_1_2,1_1_2_14
118225,NG14112003Maxwell,15181,0_0_33_83_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_83
123150,FF05_01-134,16240; 44907,51_0_0_1_0_0_0_0_0_0_0,51,51_0,51_0_0,51_0_0_1
123151,FF05_02-104,16241,51_0_0_0_0_0_0_0_0_0_0,51,51_0,51_0_0,51_0_0_0
123152,FF05_02-210,,,,,,
125903,MDG-NG10,16719; 38775,1_2_1_3_0_0_0_0_0_0_0,1,1_2,1_2_1,1_2_1_3
125904,MDG-NG11,16720,1_2_1_0_0_0_0_0_0_0_0,1,1_2,1_2_1,1_2_1_0
125905,MDG-NG12,16721; 38776,0_0_74_0_0_0_0_0_0_0_0,0,0_0,0_0_74,0_0_74_0
125906,MDG-NG13,16722; 38777,1_1_58_0_0_0_0_0_0_0_0,1,1_1,1_1_58,1_1_58_0
125907,MDG-NG14,16723; 38778,0_2_9_14_64_0_0_0_0_0_0,0,0_2,0_2_9,0_2_9_14
125908,MDG-NG15,16724; 38779,0_24_0_0_1_0_0_0_0_0_0,0,0_24,0_24_0,0_24_0_0
125909,MDG-NG16,16725,1_1_59_0_0_0_0_0_0_0_0,1,1_1,1_1_59,1_1_59_0
125910,MDG-NG17,16726; 38780,1_2_1_1_0_0_0_0_0_0_0,1,1_2,1_2_1,1_2_1_1
125911,MDG-NG18,16727; 38781,0_2_9_14_63_0_0_0_0_0_0,0,0_2,0_2_9,0_2_9_14
125912,MDG-NG19,16728; 38782,1_1_57_0_0_0_0_0_0_0_0,1,1_1,1_1_57,1_1_57_0
125913,MDG-NG1,16729,1_2_1_1_2_0_0_0_0_0_0,1,1_2,1_2_1,1_2_1_1
125914,MDG-NG20,16730; 38783,0_0_47_6_22_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
125915,MDG-NG21,16731; 38784,1_1_60_0_0_0_0_0_0_0_0,1,1_1,1_1_60,1_1_60_0
125916,MDG-NG22,16732; 16746; 38785; 38794,1_2_1_2_0_0_0_0_0_0_0,1,1_2,1_2_1,1_2_1_2
125917,MDG-NG23,16733; 38786,1_2_2_0_0_0_0_0_0_0_0,1,1_2,1_2_2,1_2_2_0
125918,MDG-NG24,16734; 38787,1_2_1_4_0_0_0_0_0_0_0,1,1_2,1_2_1,1_2_1_4
125919,MDG-NG25,16735; 44911,0_0_80_0_1_0_0_0_0_0_0,0,0_0,0_0_80,0_0_80_0
125920,MDG-NG26,16736; 38788,1_1_61_0_0_0_0_0_0_0_0,1,1_1,1_1_61,1_1_61_0
125921,MDG-NG27,16737,0_24_0_0_0_0_0_0_0_0_0,0,0_24,0_24_0,0_24_0_0
125922,MDG-NG28,16738; 38789,0_2_39_1_0_0_0_0_0_0_0,0,0_2,0_2_39,0_2_39_1
125923,MDG-NG29,16739,0_0_82_0_0_0_0_0_0_0_0,0,0_0,0_0_82,0_0_82_0
125924,MDG-NG2,16740,0_0_81_0_0_0_0_0_0_0_0,0,0_0,0_0_81,0_0_81_0
125925,MDG-NG30,16741; 38790,1_2_1_1_1_0_0_0_0_0_0,1,1_2,1_2_1,1_2_1_1
125926,MDG-NG31,16742; 38791,0_2_9_14_66_0_0_0_0_0_0,0,0_2,0_2_9,0_2_9_14
125927,MDG-NG32,16743; 16748; 38792; 38796,0_24_0_1_2_0_0_0_0_0_0,0,0_24,0_24_0,0_24_0_1
125928,MDG-NG33,,,,,,
125929,MDG-NG34,16744,0_0_82_1_0_0_0_0_0_0_0,0,0_0,0_0_82,0_0_82_1
125930,MDG-NG35,16745; 38793,0_0_77_0_0_0_0_0_0_0_0,0,0_0,0_0_77,0_0_77_0
125931,MDG-NG36,,,,,,
125932,MDG-NG37,16746; 38794,1_2_1_2_0_0_0_0_0_0_0,1,1_2,1_2_1,1_2_1_2
125933,MDG-NG38,,,,,,
125934,MDG-NG39,,,,,,
125935,MDG-NG3,16747; 38795,0_24_0_1_0_0_0_0_0_0_0,0,0_24,0_24_0,0_24_0_1
125936,MDG-NG40,,,,,,
125937,MDG-NG41,,,,,,
125938,MDG-NG42,16748; 38796,0_24_0_1_2_0_0_0_0_0_0,0,0_24,0_24_0,0_24_0_1
125939,MDG-NG43,,,,,,
125940,MDG-NG44,,,,,,
125941,MDG-NG45,,,,,,
125942,MDG-NG46,,,,,,
125943,MDG-NG47,,,,,,
125945,MDG-NG4,16749,1_1_57_1_0_0_0_0_0_0_0,1,1_1,1_1_57,1_1_57_1
125947,MDG-NG5,16750; 38797,0_2_9_14_65_0_0_0_0_0_0,0,0_2,0_2_9,0_2_9_14
125948,MDG-NG6,16751; 38798,0_2_77_0_0_0_0_0_0_0_0,0,0_2,0_2_77,0_2_77_0
125950,MDG-NG8,16753; 38799,0_24_0_1_1_0_0_0_0_0_0,0,0_24,0_24_0,0_24_0_1
125951,MDG-NG9,16754; 38800,1_2_2_1_0_0_0_0_0_0_0,1,1_2,1_2_2,1_2_2_1
131095,GP-12-MUS-048,19409; 33764,0_12_10_0_0_0_0_0_0_0_0,0,0_12,0_12_10,0_12_10_0
131096,GP-12-MUS-049,19410; 29656,0_0_23_5_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_5
131097,GP-12-MUS-052,19411; 29657,0_0_23_2_4_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131098,GP-12-MUS-069,19412,1_1_27_2_1_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_2
131099,GP-12-MUS-071,19413; 40869,0_0_33_12_92_1_0_0_0_1_0,0,0_0,0_0_33,0_0_33_12
131100,GP-12-MUS-086,19414,1_1_17_9_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_9
131101,GP-12-MUS-088,19415; 40870,0_0_33_12_164_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131102,GP-12-MUS-092,19416; 29658,0_0_23_6_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_6
131103,GP-12-MUS-093,19417,1_1_17_4_7_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131104,GP-12-MUS-096,19418,0_0_65_0_0_0_0_0_0_0_0,0,0_0,0_0_65,0_0_65_0
131105,GP-12-MUS-099,19419,1_1_27_6_2_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_6
131106,GP-12-MUS-102,19420,1_1_27_6_8_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_6
131107,GP-12-MUS-107,19421,1_3_0_1_0_0_0_0_0_0_0,1,1_3,1_3_0,1_3_0_1
131108,GP-12-MUS-109,19422; 29659,0_0_23_24_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_24
131109,GP-12-MUS-110,19415; 40870,0_0_33_12_164_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131110,GP-12-MUS-115,19423; 29660,0_0_23_16_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_16
131111,GP-12-MUS-116,19424,1_1_50_0_0_0_0_0_0_0_0,1,1_1,1_1_50,1_1_50_0
131112,GP-12-MUS-117,19425; 38806,0_23_0_0_2_0_0_0_0_0_0,0,0_23,0_23_0,0_23_0_0
131113,GP-12-MUS-124,19426; 40871,0_0_33_12_92_1_1_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131114,GP-12-MUS-137,19427,1_1_17_4_10_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131115,GP-12-MUS-163,19428,0_0_33_12_92_3_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131116,GP-12-MUS-166,19429,0_2_21_0_2_0_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
131117,GP-12-MUS-170,19430; 38807,0_23_0_0_0_0_0_0_0_0_0,0,0_23,0_23_0,0_23_0_0
131118,GP-12-MUS-180,19431,1_1_17_4_5_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131119,GP-12-MUS-190,19432,0_16_0_1_6_2_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131120,GP-12-MUS-199,19433; 29661,0_0_23_2_3_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131121,GP-12-MUS-205,19434; 40872,0_0_33_12_92_1_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131122,GP-12-MUS-208,19435,0_0_33_12_192_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131123,GP-12-MUS-211,19436,1_3_1_0_0_0_0_0_0_0_0,1,1_3,1_3_1,1_3_1_0
131124,GP-12-MUS-214,19437; 29662,0_0_23_3_1_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_3
131125,GP-12-MUS-220,19438,0_16_0_1_6_3_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131126,GP-12-MUS-242,,,,,,
131127,GP-12-MUS-250,19439,1_1_17_4_14_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131128,GP-12-MUS-251,19440,0_0_33_12_159_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131129,GP-12-MUS-252,19441,0_2_73_0_0_0_0_0_0_0_0,0,0_2,0_2_73,0_2_73_0
131130,GP-12-MUS-264,19442,0_0_47_6_9_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131131,GP-12-MUS-273,19443,0_0_33_12_268_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131132,GP-12-MUS-276,19444; 40873,0_0_33_12_92_1_0_0_0_2_0,0,0_0,0_0_33,0_0_33_12
131133,GP-12-MUS-283,19445,0_0_47_6_21_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131134,GP-12-MUS-289,19446,0_0_33_98_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_98
131135,GP-12-MUS-291,19447,0_2_21_0_7_0_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
131136,GP-12-MUS-297,19448; 40874,0_0_36_1_2_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
131137,GP-12-MUS-303,19449; 33765,0_0_36_1_5_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
131138,GP-12-MUS-307,19450,0_0_33_12_179_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131139,GP-12-MUS-311,19451,0_12_10_2_0_0_0_0_0_0_0,0,0_12,0_12_10,0_12_10_2
131140,GP-12-MUS-312,19452,0_0_33_12_149_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131141,GP-12-MUS-317,19453,0_0_47_6_11_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131142,GP-12-MUS-319,19454; 29663,0_0_23_2_1_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131143,GP-12-MUS-324,19455,0_2_21_0_9_0_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
131144,GP-12-MUS-325,19456,1_1_17_11_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_11
131145,GP-12-MUS-331,19457; 40875,0_0_33_12_92_1_0_0_2_0_0,0,0_0,0_0_33,0_0_33_12
131146,GP-12-MUS-333,19458; 29664,0_0_23_2_9_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131147,GP-12-MUS-337,19459; 40876,0_0_33_12_92_1_0_0_0_4_0,0,0_0,0_0_33,0_0_33_12
131148,GP-12-MUS-339,19460; 40877,0_0_33_12_150_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131149,GP-12-MUS-356,19461,0_0_47_6_3_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131150,GP-12-MUS-358,19462,0_0_47_6_5_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131151,GP-12-MUS-361,19463,0_2_21_0_10_0_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
131152,GP-12-MUS-363,19464,0_18_23_1_0_0_0_0_0_0_0,0,0_18,0_18_23,0_18_23_1
131153,GP-12-MUS-368,19465; 40878,0_0_33_12_170_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131154,GP-12-MUS-371,19466,0_0_33_12_147_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131155,GP-13-MUS-001,19467; 38808,0_23_0_0_1_0_0_0_0_0_0,0,0_23,0_23_0,0_23_0_0
131156,GP-13-MUS-015,19468,0_16_0_1_6_5_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131157,GP-13-MUS-032,19469,0_0_33_12_196_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131158,GP-13-MUS-044,19470,0_0_33_12_171_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131159,GP-13-MUS-047,19471,0_0_47_6_7_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131160,GP-13-MUS-051,19472,0_16_0_1_6_1_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131161,GP-13-MUS-052,19473,0_16_0_1_20_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131162,GP-13-MUS-053,19474,0_0_33_12_92_1_0_0_1_0_0,0,0_0,0_0_33,0_0_33_12
131163,GP-13-MUS-067,19475,0_0_47_6_8_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131164,GP-13-MUS-068,19476,0_0_36_1_1_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
131165,GP-13-MUS-070,19477; 40879,0_0_33_12_167_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131166,GP-13-MUS-073,19478,1_1_51_0_0_0_0_0_0_0_0,1,1_1,1_1_51,1_1_51_0
131167,GP-13-MUS-076,19479; 29665,0_0_23_2_12_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131168,GP-13-MUS-077,19480,0_0_33_12_145_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131169,GP-13-MUS-080,19481,1_1_17_4_16_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131170,GP-13-MUS-081,19482,1_1_49_0_0_0_0_0_0_0_0,1,1_1,1_1_49,1_1_49_0
131172,GP13-MUS-085,19483,0_0_33_12_152_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131173,GP13-MUS-086,19484,0_0_36_1_3_1_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
131174,GP13-MUS-088,19485,0_0_33_12_151_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131175,GP-13-MUS-096,19486; 29666,0_0_23_5_1_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_5
131176,GP-13-MUS-099,19487; 34309,0_0_33_12_216_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131177,GP-13-MUS-103,19488,1_1_17_13_1_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_13
131178,GP-13-MUS-105,19489; 34310,0_18_22_2_0_0_0_0_0_0_0,0,0_18,0_18_22,0_18_22_2
131179,GP-13-MUS-107,19490,1_1_27_6_7_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_6
131180,GP-13-MUS-109,19491; 27605,0_0_28_0_1_1_0_0_0_0_0,0,0_0,0_0_28,0_0_28_0
131181,GP-13-MUS-116,19492,1_1_17_4_6_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131182,GP-13-MUS-120,19493; 29667,0_0_23_2_0_1_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131183,GP-13-MUS-121,19494,0_0_33_12_204_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131184,GP-13-MUS-129,19495,1_1_17_4_20_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131185,GP-13-MUS-132,19496; 29668,0_0_23_21_0_0_0_0_0_1_0,0,0_0,0_0_23,0_0_23_21
131186,GP-13-MUS-133,19497,0_0_33_12_153_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131187,GP-13-MUS-134,19498,1_1_40_0_0_0_0_0_0_0_0,1,1_1,1_1_40,1_1_40_0
131188,GP13-MUS-144,19499,0_2_71_0_0_0_0_0_0_0_0,0,0_2,0_2_71,0_2_71_0
131189,GP13-MUS-145,19500; 40880,0_0_36_1_2_1_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
131190,GP13-MUS-152,19501,0_12_11_0_0_0_0_0_0_0_0,0,0_12,0_12_11,0_12_11_0
131191,GP13-MUS-177,19502,1_1_17_4_15_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131192,GP13-MUS-179,19503,0_0_33_12_156_0_1_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131193,GP13-MUS-187,19504,0_0_33_12_248_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131194,GP13-MUS-189,19505,0_0_28_0_2_0_0_0_0_0_0,0,0_0,0_0_28,0_0_28_0
131195,GP13-MUS-190,19506,0_0_36_1_4_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
131196,GP13-MUS-195,19507,0_0_33_12_156_0_1_0_0_1_0,0,0_0,0_0_33,0_0_33_12
